,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
0,0.0721,0.0438,0.0916,0.0279,0.0623,0.0421,0.0638,0.0755,0.0804,0.129,0.02411,0.22121,0.01537,0.28095,0.02319,0.19127,0.04159,0.19576,0.07103,0.24677,0.1975,0.12,0.1588,0.2509,0.0765,0.1637,0.1708,0.1154,0.1431,0.1748,0.207,0.1909,0.2204,0.3535,0.2869,-0.280828,0.011752,1.862687,118.13594,542.61329,999.25584,1.1225917304046302,98.5,53.45,0.78720566,-3.3071,9.9328,0.5505,3.0678,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.3040462877303949,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.3509861243394248,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,11.88,92.0
1,0.0721,0.0438,0.0916,0.0279,0.0623,0.0421,0.0638,0.0755,0.0804,0.129,0.02411,0.22121,0.01537,0.28095,0.02319,0.19127,0.04159,0.19576,0.07103,0.24677,0.1975,0.12,0.1588,0.2509,0.0765,0.1637,0.1708,0.1154,0.1431,0.1748,0.207,0.1909,0.2204,0.3535,0.2869,-0.280828,0.011752,1.862687,118.13594,542.61329,999.25584,1.1225917304046302,98.5,53.45,0.78720566,-3.3071,9.9328,0.5505,3.0678,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.3040462877303949,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.24913,-0.024384,1.116942,599.65462,1889.67912,4812.0704,1.3709321405530617,253.97,275.2,0.45999442,-3.0857,6.5554,0.7262,3.9521,11.88,90.0
2,0.0721,0.0438,0.0916,0.0279,0.0623,0.0421,0.0638,0.0755,0.0804,0.129,0.02411,0.22121,0.01537,0.28095,0.02319,0.19127,0.04159,0.19576,0.07103,0.24677,0.1975,0.12,0.1588,0.2509,0.0765,0.1637,0.1708,0.1154,0.1431,0.1748,0.207,0.1909,0.2204,0.3535,0.2869,-0.280828,0.011752,1.862687,118.13594,542.61329,999.25584,1.1225917304046302,98.5,53.45,0.78720566,-3.3071,9.9328,0.5505,3.0678,0.0062,0.0066,0.0171,0.0282,0.1055,0.117,0.047,0.0881,0.004,0.02188,0.01713,0.06006,0.07112,0.37042,0.05352,0.16505,0.0203,0.0215,0.0209,0.0558,0.092,0.0739,0.3441,0.3818,0.363,0.1533,0.2873,0.2203,-0.25869,-0.000446,0.883074,222.23716,983.22336,1862.50441,1.3430840468396257,164.62,110.71,0.55902905,-3.1993,11.1194,0.4603,2.2374,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.3509861243394248,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,11.88,90.0
3,0.0721,0.0438,0.0916,0.0279,0.0623,0.0421,0.0638,0.0755,0.0804,0.129,0.02411,0.22121,0.01537,0.28095,0.02319,0.19127,0.04159,0.19576,0.07103,0.24677,0.1975,0.12,0.1588,0.2509,0.0765,0.1637,0.1708,0.1154,0.1431,0.1748,0.207,0.1909,0.2204,0.3535,0.2869,-0.280828,0.011752,1.862687,118.13594,542.61329,999.25584,1.1225917304046302,98.5,53.45,0.78720566,-3.3071,9.9328,0.5505,3.0678,0.0088,0.0051,0.0173,0.0254,0.1034,0.1122,0.0564,0.0748,0.00432,0.0258,0.02145,0.05054,0.09486,0.30267,0.06327,0.16508,0.0289,0.0167,0.0228,0.0566,0.0832,0.0699,0.3391,0.3677,0.3534,0.1849,0.2452,0.2151,-0.276587,-0.017377,0.778436,271.10724,967.53359,1839.75213,1.3325260787545572,157.27,113.67,0.5155451,-3.542,8.694,0.7215,3.0013,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.3509861243394248,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,11.88,84.0
4,0.0721,0.0438,0.0916,0.0279,0.0623,0.0421,0.0638,0.0755,0.0804,0.129,0.02411,0.22121,0.01537,0.28095,0.02319,0.19127,0.04159,0.19576,0.07103,0.24677,0.1975,0.12,0.1588,0.2509,0.0765,0.1637,0.1708,0.1154,0.1431,0.1748,0.207,0.1909,0.2204,0.3535,0.2869,-0.280828,0.011752,1.862687,118.13594,542.61329,999.25584,1.1225917304046302,98.5,53.45,0.78720566,-3.3071,9.9328,0.5505,3.0678,0.0093,0.0062,0.0187,0.0277,0.1138,0.1181,0.0645,0.0844,0.00446,0.02818,0.01983,0.05695,0.08442,0.34606,0.06035,0.19627,0.0291,0.0196,0.0243,0.0588,0.0871,0.0729,0.3572,0.3708,0.364,0.2026,0.2651,0.2339,-0.276773,-0.007361,0.315236,206.23776,951.24788,1796.80535,1.3308901864025389,142.61,123.76,0.50143847,-3.1525,8.3157,0.5975,3.5387,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.3509861243394248,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,11.88,92.0
5,0.0721,0.0438,0.0916,0.0279,0.0623,0.0421,0.0638,0.0755,0.0804,0.129,0.02411,0.22121,0.01537,0.28095,0.02319,0.19127,0.04159,0.19576,0.07103,0.24677,0.1975,0.12,0.1588,0.2509,0.0765,0.1637,0.1708,0.1154,0.1431,0.1748,0.207,0.1909,0.2204,0.3535,0.2869,-0.280828,0.011752,1.862687,118.13594,542.61329,999.25584,1.1225917304046302,98.5,53.45,0.78720566,-3.3071,9.9328,0.5505,3.0678,0.0047,0.0039,0.0144,0.0204,0.0881,0.0889,0.0323,0.0448,0.00323,0.01555,0.01671,0.04785,0.07291,0.29334,0.0367,0.10765,0.0165,0.0139,0.0152,0.0507,0.0719,0.0613,0.3108,0.3136,0.3122,0.114,0.1579,0.136,-0.263497,-0.022689,0.225136,242.26986,1046.8173,2043.82792,1.3440761714750176,177.41,115.73,0.5255293,-3.6969,8.2631,0.827,2.9605,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.3509861243394248,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,11.88,90.0
6,0.0721,0.0438,0.0916,0.0279,0.0623,0.0421,0.0638,0.0755,0.0804,0.129,0.02411,0.22121,0.01537,0.28095,0.02319,0.19127,0.04159,0.19576,0.07103,0.24677,0.1975,0.12,0.1588,0.2509,0.0765,0.1637,0.1708,0.1154,0.1431,0.1748,0.207,0.1909,0.2204,0.3535,0.2869,-0.280828,0.011752,1.862687,118.13594,542.61329,999.25584,1.1225917304046302,98.5,53.45,0.78720566,-3.3071,9.9328,0.5505,3.0678,0.0071,0.0059,0.0165,0.0266,0.1019,0.1113,0.0453,0.0778,0.0039,0.02409,0.01748,0.05612,0.07308,0.34553,0.05113,0.15369,0.0232,0.0194,0.0213,0.0539,0.0867,0.0703,0.332,0.3627,0.3473,0.1477,0.2537,0.2007,-0.265452,-0.008008,0.881576,222.23716,977.00463,1857.07009,1.3371915816671733,157.4,116.19,0.54874181,-3.9848,8.4819,0.936,2.5993,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.3509861243394248,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,11.88,93.0
7,0.0721,0.0438,0.0916,0.0279,0.0623,0.0421,0.0638,0.0755,0.0804,0.129,0.02411,0.22121,0.01537,0.28095,0.02319,0.19127,0.04159,0.19576,0.07103,0.24677,0.1975,0.12,0.1588,0.2509,0.0765,0.1637,0.1708,0.1154,0.1431,0.1748,0.207,0.1909,0.2204,0.3535,0.2869,-0.280828,0.011752,1.862687,118.13594,542.61329,999.25584,1.1225917304046302,98.5,53.45,0.78720566,-3.3071,9.9328,0.5505,3.0678,0.0071,0.0059,0.0165,0.0266,0.1019,0.1113,0.0453,0.0778,0.0039,0.02409,0.01748,0.05612,0.07308,0.34553,0.05113,0.15369,0.0232,0.0194,0.0213,0.0539,0.0867,0.0703,0.332,0.3627,0.3473,0.1477,0.2537,0.2007,-0.265452,-0.008008,0.881576,222.23716,977.00463,1857.07009,1.3371915816671733,157.4,116.19,0.54874181,-3.9848,8.4819,0.936,2.5993,-0.24913,-0.024384,1.116942,599.65462,1889.67912,4812.0704,1.3709321405530617,253.97,275.2,0.45999442,-3.0857,6.5554,0.7262,3.9521,11.88,97.0
8,0.0721,0.0438,0.0916,0.0279,0.0623,0.0421,0.0638,0.0755,0.0804,0.129,0.02411,0.22121,0.01537,0.28095,0.02319,0.19127,0.04159,0.19576,0.07103,0.24677,0.1975,0.12,0.1588,0.2509,0.0765,0.1637,0.1708,0.1154,0.1431,0.1748,0.207,0.1909,0.2204,0.3535,0.2869,-0.280828,0.011752,1.862687,118.13594,542.61329,999.25584,1.1225917304046302,98.5,53.45,0.78720566,-3.3071,9.9328,0.5505,3.0678,0.0095,0.0083,0.02,0.0327,0.1214,0.133,0.0577,0.1036,0.00524,0.03222,0.02057,0.06755,0.08356,0.41066,0.06512,0.19526,0.0295,0.0259,0.0277,0.0619,0.1015,0.0817,0.3766,0.4124,0.3945,0.179,0.3214,0.2502,-0.263849,-0.000121,0.412511,182.1733,814.52671,1474.13119,1.3003605404955016,130.21,97.88,0.53865014,-3.2789,8.2667,0.6502,3.4409,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.3509861243394248,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,11.88,90.0
9,0.0721,0.0438,0.0916,0.0279,0.0623,0.0421,0.0638,0.0755,0.0804,0.129,0.02411,0.22121,0.01537,0.28095,0.02319,0.19127,0.04159,0.19576,0.07103,0.24677,0.1975,0.12,0.1588,0.2509,0.0765,0.1637,0.1708,0.1154,0.1431,0.1748,0.207,0.1909,0.2204,0.3535,0.2869,-0.280828,0.011752,1.862687,118.13594,542.61329,999.25584,1.1225917304046302,98.5,53.45,0.78720566,-3.3071,9.9328,0.5505,3.0678,0.0318,0.0229,0.0248,0.0468,0.1416,0.155,0.1341,0.1668,0.01082,0.07045,0.02213,0.05492,0.07335,0.31349,0.07892,0.29679,0.0768,0.0551,0.066,0.0599,0.1128,0.0863,0.3417,0.374,0.3578,0.3235,0.4024,0.3629,-0.31039,0.049074,0.346403,172.22154,889.46977,1610.63142,1.3385963095800826,78.98,170.09,0.40939949,-3.2613,8.7208,0.6098,3.4288,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.3509861243394248,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,11.88,90.0
10,0.0393,0.0208,0.0352,0.018,0.0539,0.0245,0.0864,0.0391,0.0725,0.043,0.01228,0.12486,0.01063,0.11162,0.01444,0.17122,0.02306,0.27434,0.02535,0.23015,0.118,0.0625,0.0903,0.1055,0.0541,0.0798,0.1619,0.0735,0.1177,0.2594,0.1173,0.1883,0.2176,0.129,0.1733,-0.279947,0.01127,1.902504,194.2319,848.075,1660.85718,1.250437370017623,141.76,95.73,0.6388032,-4.2987,9.5916,0.9633,2.0738,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.3040462877303949,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.3509861243394248,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,11.88,92.0
11,0.0393,0.0208,0.0352,0.018,0.0539,0.0245,0.0864,0.0391,0.0725,0.043,0.01228,0.12486,0.01063,0.11162,0.01444,0.17122,0.02306,0.27434,0.02535,0.23015,0.118,0.0625,0.0903,0.1055,0.0541,0.0798,0.1619,0.0735,0.1177,0.2594,0.1173,0.1883,0.2176,0.129,0.1733,-0.279947,0.01127,1.902504,194.2319,848.075,1660.85718,1.250437370017623,141.76,95.73,0.6388032,-4.2987,9.5916,0.9633,2.0738,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.3040462877303949,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.24913,-0.024384,1.116942,599.65462,1889.67912,4812.0704,1.3709321405530617,253.97,275.2,0.45999442,-3.0857,6.5554,0.7262,3.9521,11.88,94.0
12,0.0356,0.037,0.0561,0.0252,0.0776,0.0416,0.0882,0.0665,0.0909,0.1006,0.01848,0.11564,0.01262,0.18224,0.02079,0.25233,0.03327,0.28655,0.05028,0.29536,0.1014,0.1054,0.1034,0.1599,0.072,0.1159,0.2213,0.1186,0.17,0.2514,0.1897,0.2205,0.2591,0.2868,0.2729,-0.275042,0.014865,1.955265,132.16252,621.11407,1153.50362,1.1677268557060636,110.89,63.04,0.75307743,-3.5819,8.7853,0.7302,3.0712,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.3040462877303949,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.3509861243394248,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,11.88,41.0
13,0.0356,0.037,0.0561,0.0252,0.0776,0.0416,0.0882,0.0665,0.0909,0.1006,0.01848,0.11564,0.01262,0.18224,0.02079,0.25233,0.03327,0.28655,0.05028,0.29536,0.1014,0.1054,0.1034,0.1599,0.072,0.1159,0.2213,0.1186,0.17,0.2514,0.1897,0.2205,0.2591,0.2868,0.2729,-0.275042,0.014865,1.955265,132.16252,621.11407,1153.50362,1.1677268557060636,110.89,63.04,0.75307743,-3.5819,8.7853,0.7302,3.0712,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.3040462877303949,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.24913,-0.024384,1.116942,599.65462,1889.67912,4812.0704,1.3709321405530617,253.97,275.2,0.45999442,-3.0857,6.5554,0.7262,3.9521,11.88,81.0
14,0.0356,0.037,0.0561,0.0252,0.0776,0.0416,0.0882,0.0665,0.0909,0.1006,0.01848,0.11564,0.01262,0.18224,0.02079,0.25233,0.03327,0.28655,0.05028,0.29536,0.1014,0.1054,0.1034,0.1599,0.072,0.1159,0.2213,0.1186,0.17,0.2514,0.1897,0.2205,0.2591,0.2868,0.2729,-0.275042,0.014865,1.955265,132.16252,621.11407,1153.50362,1.1677268557060636,110.89,63.04,0.75307743,-3.5819,8.7853,0.7302,3.0712,0.0255,0.0224,0.0222,0.0455,0.1336,0.1536,0.1134,0.1648,0.01035,0.05837,0.02101,0.051,0.07092,0.30629,0.0761,0.25985,0.0627,0.0552,0.059,0.0548,0.1121,0.0835,0.3292,0.3784,0.3538,0.2793,0.4061,0.3427,-0.307264,0.049331,0.371581,198.25882,942.97332,1796.67433,1.3193773944127554,74.22,189.83,0.38624649,-3.3365,9.3037,0.5983,3.0797,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.3509861243394248,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,11.88,47.0
15,0.0356,0.037,0.0561,0.0252,0.0776,0.0416,0.0882,0.0665,0.0909,0.1006,0.01848,0.11564,0.01262,0.18224,0.02079,0.25233,0.03327,0.28655,0.05028,0.29536,0.1014,0.1054,0.1034,0.1599,0.072,0.1159,0.2213,0.1186,0.17,0.2514,0.1897,0.2205,0.2591,0.2868,0.2729,-0.275042,0.014865,1.955265,132.16252,621.11407,1153.50362,1.1677268557060636,110.89,63.04,0.75307743,-3.5819,8.7853,0.7302,3.0712,0.0255,0.0224,0.0222,0.0455,0.1336,0.1536,0.1134,0.1648,0.01035,0.05837,0.02101,0.051,0.07092,0.30629,0.0761,0.25985,0.0627,0.0552,0.059,0.0548,0.1121,0.0835,0.3292,0.3784,0.3538,0.2793,0.4061,0.3427,-0.307264,0.049331,0.371581,198.25882,942.97332,1796.67433,1.3193773944127554,74.22,189.83,0.38624649,-3.3365,9.3037,0.5983,3.0797,-0.24913,-0.024384,1.116942,599.65462,1889.67912,4812.0704,1.3709321405530617,253.97,275.2,0.45999442,-3.0857,6.5554,0.7262,3.9521,11.88,90.0
16,0.0322,0.0407,0.0606,0.0254,0.081,0.04,0.0775,0.0707,0.077,0.1016,0.02502,0.09306,0.01562,0.17482,0.02454,0.23381,0.04342,0.22375,0.06237,0.22235,0.0919,0.1161,0.104,0.1727,0.0725,0.1226,0.2309,0.1139,0.1724,0.221,0.2016,0.2113,0.2196,0.2896,0.2546,-0.284025,0.006449,1.774754,152.581,612.03596,1137.85614,1.1611845364771314,96.09,75.3,0.65758304,-3.1458,9.5678,0.5171,3.264,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.3040462877303949,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.3509861243394248,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,11.88,83.0
17,0.0322,0.0407,0.0606,0.0254,0.081,0.04,0.0775,0.0707,0.077,0.1016,0.02502,0.09306,0.01562,0.17482,0.02454,0.23381,0.04342,0.22375,0.06237,0.22235,0.0919,0.1161,0.104,0.1727,0.0725,0.1226,0.2309,0.1139,0.1724,0.221,0.2016,0.2113,0.2196,0.2896,0.2546,-0.284025,0.006449,1.774754,152.581,612.03596,1137.85614,1.1611845364771314,96.09,75.3,0.65758304,-3.1458,9.5678,0.5171,3.264,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.3040462877303949,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.24913,-0.024384,1.116942,599.65462,1889.67912,4812.0704,1.3709321405530617,253.97,275.2,0.45999442,-3.0857,6.5554,0.7262,3.9521,11.88,52.0
18,0.0322,0.0407,0.0606,0.0254,0.081,0.04,0.0775,0.0707,0.077,0.1016,0.02502,0.09306,0.01562,0.17482,0.02454,0.23381,0.04342,0.22375,0.06237,0.22235,0.0919,0.1161,0.104,0.1727,0.0725,0.1226,0.2309,0.1139,0.1724,0.221,0.2016,0.2113,0.2196,0.2896,0.2546,-0.284025,0.006449,1.774754,152.581,612.03596,1137.85614,1.1611845364771314,96.09,75.3,0.65758304,-3.1458,9.5678,0.5171,3.264,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.3040462877303949,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.3509861243394248,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,11.88,85.0
19,0.031,0.0381,0.0658,0.0252,0.0825,0.04,0.062,0.0603,0.0726,0.1008,0.02244,0.09123,0.01482,0.19365,0.02355,0.24277,0.03554,0.18232,0.0594,0.21367,0.0885,0.1087,0.0986,0.1879,0.0718,0.1298,0.2355,0.1141,0.1748,0.1769,0.1722,0.1745,0.2073,0.2878,0.2476,-0.280459,0.011133,2.023204,148.16192,648.51924,1210.34861,1.180769400901596,116.53,65.07,0.73884862,-4.0283,8.7092,0.9316,2.4141,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.3040462877303949,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.3509861243394248,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,11.88,53.0
20,0.031,0.0381,0.0658,0.0252,0.0825,0.04,0.062,0.0603,0.0726,0.1008,0.02244,0.09123,0.01482,0.19365,0.02355,0.24277,0.03554,0.18232,0.0594,0.21367,0.0885,0.1087,0.0986,0.1879,0.0718,0.1298,0.2355,0.1141,0.1748,0.1769,0.1722,0.1745,0.2073,0.2878,0.2476,-0.280459,0.011133,2.023204,148.16192,648.51924,1210.34861,1.180769400901596,116.53,65.07,0.73884862,-4.0283,8.7092,0.9316,2.4141,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.3040462877303949,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.3509861243394248,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,11.88,53.0
21,0.031,0.0381,0.0658,0.0252,0.0825,0.04,0.062,0.0603,0.0726,0.1008,0.02244,0.09123,0.01482,0.19365,0.02355,0.24277,0.03554,0.18232,0.0594,0.21367,0.0885,0.1087,0.0986,0.1879,0.0718,0.1298,0.2355,0.1141,0.1748,0.1769,0.1722,0.1745,0.2073,0.2878,0.2476,-0.280459,0.011133,2.023204,148.16192,648.51924,1210.34861,1.180769400901596,116.53,65.07,0.73884862,-4.0283,8.7092,0.9316,2.4141,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.3040462877303949,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.24913,-0.024384,1.116942,599.65462,1889.67912,4812.0704,1.3709321405530617,253.97,275.2,0.45999442,-3.0857,6.5554,0.7262,3.9521,11.88,75.0
