Substrates,Allylic Substrates,Additive,Catalysts,Chirality,base,b:l ratio,Yield_ori,ee,doi,Yield
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,92,97,,92
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,90,98,,90
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC=C(OC)C=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,90,97,,90
C12=CC=CC=C1N=CN2,BrC(C=C1)=CC=C1/C=C/COC(OC)=O,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,84,95,,84
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC(C)=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,92,97,,92
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC(C=CC=C2)=C2C=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,90,97,,90
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC=CC=C1OC)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,93,80,,93
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC=CC=C1OC)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,97,92,,97
C12=CC=CC=C1N=CN2,O=C(OC/C=C/C1=CC=CO1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,90,96,,90
C12=CC=CC=C1N=CN2,CCCC/C=C/COC(OC)=O,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,90,94,,90
C12=CC=CC=C1N=C(C3=CC=CC=C3)N2,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,92,86,,92
C12=CC=CC=C1N=C(C3=CC=CC=C3)N2,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,94,96,,94
CC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,41,94,,41
CC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,81,97,,81
CC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1CCCCC1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,47,89,,47
CC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1CCCCC1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,90,94,,90
ClC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,83,93,,83
ClC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,52,0,,52
ClC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,85,95,,85
OCC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,53,93,,53
OCC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,53,93,,53
OCC1=NC2=CC=CC=C2N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,75,96,,75
C1=CN=CN1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,73,96,,73
C1=CN=CN1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,87,98,,87
C1(C2=CC=CC=C2)=C(N=CN1)C3=CC=CC=C3,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,83,98,,83
C1(C2=CC=CC=C2)=NC=CN1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,68,95,,68
C1(C2=CC=CC=C2)=CNC=N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,75,98,,75
ClC1=C2C(NC=N2)=NC=N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,83,93,,83
ClC1=C2C(NC=N2)=NC=N1,O=C(OC/C=C/C1=CC=C(OC)C=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,91,92,,91
ClC1=C2C(NC=N2)=NC=N1,BrC(C=C1)=CC=C1/C=C/COC(OC)=O,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,76,95,,76
ClC1=C2C(NC=N2)=NC=N1,O=C(OC/C=C/C1=CC(C)=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,75,90,,75
ClC1=C2C(NC=N2)=NC=N1,O=C(OC/C=C/C1=CC(C=CC=C2)=C2C=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,77,92,,77
ClC1=C2C(NC=N2)=NC=N1,O=C(OC/C=C/C1=CC=CC=C1OC)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,60,78,,60
ClC1=C2C(NC=N2)=NC=N1,O=C(OC/C=C/C1=CC=CC=C1OC)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,84,81,,84
ClC1=C2C(NC=N2)=NC=N1,CCCCCCC/C=C/COC(OC)=O,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,68,96,,68
ClC1=C2C(NC=N2)=NC=N1,CCCCCCC/C=C/COC(OC)=O,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,85,94,,85
CSC1=C2C(NC=N2)=NC=N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,91,92,,91
NC1=C2C(NC=N2)=NC=N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,81,96,,81
NC1=C2C(NC=N2)=NC=N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,88,96,,88
CC(OC(N(C1=C2C(NC=N2)=NC=N1)C(OC(C)(C)C)=O)=O)(C)C,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,29,93,,29
CC(OC(N(C1=C2C(NC=N2)=NC=N1)C(OC(C)(C)C)=O)=O)(C)C,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,82,96,,82
ClC1=C2C(NC=N2)=NC(N)=N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,75,97,,75
ClC1=C2C(NC=N2)=NC(N)=N1,O=C(OC/C=C/C1=CC=CC=C1)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,O=P(OO[K])=O.[K][K],,83,98,,83
CCOC(=O)c1cc2ccccc2[nH]1,CC(C)(C)OC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,89,99,,89
CCOC(=O)c1cc2ccccc2[nH]1,COc1ccc(/C=C/COC(=O)OC(C)(C)C)cc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,88,99,,88
CCOC(=O)c1cc2ccccc2[nH]1,CC(C)(C)OC(=O)OC/C=C/c1ccc(Br)cc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,87,99,,87
CCOC(=O)c1cc2ccccc2[nH]1,CC(C)(C)OC(=O)OC/C=C/c1ccc(C(F)(F)F)cc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,85,99,,85
CCOC(=O)c1cc2ccccc2[nH]1,COc1cccc(/C=C/COC(=O)OC(C)(C)C)c1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,95,98,,95
CCOC(=O)c1cc2ccccc2[nH]1,COc1ccccc1/C=C/COC(=O)OC(C)(C)C,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,72,96,,72
CCOC(=O)c1cc2ccccc2[nH]1,CC(C)(C)OC(=O)OC/C=C/c1ccco1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,85,99,,85
CCOC(=O)c1cc2ccccc2[nH]1,C/C=C/C=C/COC(=O)OC(C)(C)C,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,86,99,,86
CCOC(=O)c1cc2ccccc2[nH]1,CCC/C=C/COC(=O)OC(C)(C)C,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,92,99,,92
CCOC(=O)c1cc2cc(OC)ccc2[nH]1,CC(C)(C)OC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,88,99,,88
CCOC(=O)c1cc2cc(F)ccc2[nH]1,CC(C)(C)OC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,84,99,,84
CCOC(=O)c1cc2cc(Cl)ccc2[nH]1,CC(C)(C)OC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,91,99,,91
CCOC(=O)c1cc2cc([N+](=O)[O-])ccc2[nH]1,CC(C)(C)OC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,90,99,,90
O=Cc1cc2ccccc2[nH]1,CC(C)(C)OC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,89,99,,89
COC(=O)c1c[nH]c2ccccc12,CC(C)(C)OC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,84,97,,84
O=Cc1c[nH]c2ccccc12,CC(C)(C)OC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,87,96,,87
COCc1c[nH]c2ccccc12,CC(C)(C)OC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,88,96,,88
N#Cc1c[nH]c2ccccc12,CC(C)(C)OC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,93,96,,93
c1ccc(-c2c[nH]c3ccccc23)cc1,CC(C)(C)OC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,21,97,,21
Cc1c(C=O)[nH]c2ccccc12,CC(C)(C)OC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,82,99,,82
O=Cc1c(-c2ccccc2)[nH]c2ccccc12,CC(C)(C)OC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,93,97,,93
c1ccc(-c2[nH]c3ccccc3c2-c2ccccc2)cc1,CC(C)(C)OC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,95,99,,95
Cc1c(-c2ccccc2)[nH]c2ccccc12,CC(C)(C)OC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,89,99,,89
c1ccc2c3c([nH]c2c1)CCCC3,CC(C)(C)OC(=O)OC/C=C/c1ccccc1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,88,98,,88
CCOC(=O)c1cc2ccccc2[nH]1,O=C(OC(C)(C)C)OC/C=C/COCC1=CC=CC=C1,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,70,98,,70
CCOC(=O)c1cc2ccccc2[nH]1,CC(C)(OC(OC/C=C/C1CCCCC1)=O)C,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,0,[O-]C(=O)[O-].[Cs+].[Cs+],,54,99,,54
O=CNC(OC(C)(C)C)=O,O=C(OC/C=C/COC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,1,,88\12,98,97,10.1055/s-0028-1083158,86.24
O=CNC(OC(C)(C)C)=O,O=C(OC/C=C/COC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,1,,89\11,89,97,10.1055/s-0028-1083159,79.21
O=CNC(OC(C)(C)C)=O,O=C(OC/C=C/COC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(N(P1OC2=C(C3=CC=CC=C3C=C2)C4=C5C=CC=CC5=CC=C4O1)C(C6=C7C(C=CC=C7)=CC=C6)C)C8=CC=CC9=C8C=CC=C9,1,,81\19,90,96,10.1055/s-0028-1083160,72.9
[Na]N(C(OC(C)(C)C)=O)C(OC(C)(C)C)=O,O=C(OC/C=C/COC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,1,,74\26,94,97,10.1055/s-0028-1083161,69.56
[Na]N(C(OC(C)(C)C)=O)C(OC(C)(C)C)=O,O=C(OC/C=C/COC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,1,,91\9,88,98,10.1055/s-0028-1083162,80.08
